Body Part,LEar,LEar,LEar,LElbow,LElbow,LElbow,LEye,LEye,LEye,LShoulder,LShoulder,LShoulder,LWrist,LWrist,LWrist,MidHip,MidHip,MidHip,Neck,Neck,Neck,Nose,Nose,Nose,REar,REar,REar,RElbow,RElbow,RElbow,REye,REye,REye,RShoulder,RShoulder,RShoulder,RWrist,RWrist,RWrist
Variable,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c
566,,,,431.311,439.804,0.797,386.028,280.917,0.889,409.347,332.556,0.821,430.326,408.109,0.748,368.682,483.025,0.714,367.001,332.163,0.839,381.081,293.363,0.896,346.715,276.052,0.856,294.994,420.305,0.805,370.131,280.841,0.947,320.006,331.047,0.809,318.433,486.086,0.848
567,395.192,280.911,0.069,431.311,439.879,0.800,385.858,280.916,0.890,409.347,332.667,0.822,430.190,408.307,0.748,368.682,483.025,0.714,366.998,332.033,0.838,381.080,293.360,0.895,346.618,276.349,0.856,294.992,420.303,0.807,370.129,280.841,0.947,319.912,331.050,0.810,318.433,486.089,0.847
568,395.194,280.904,0.070,431.314,439.708,0.801,385.762,280.918,0.890,409.346,332.552,0.824,429.858,408.317,0.746,368.682,483.025,0.714,366.996,331.689,0.836,381.078,293.359,0.895,346.617,276.277,0.857,294.990,420.301,0.808,370.128,280.843,0.948,319.840,331.050,0.809,318.434,486.094,0.846
569,395.195,280.897,0.071,431.315,439.663,0.802,385.762,280.919,0.890,409.344,332.547,0.824,429.689,408.262,0.748,368.682,483.025,0.714,366.994,331.355,0.836,381.075,293.359,0.893,346.732,275.817,0.857,294.992,420.301,0.807,370.125,280.844,0.947,319.789,331.050,0.809,318.436,486.100,0.847
570,395.197,280.891,0.071,431.205,439.651,0.804,385.878,280.921,0.890,409.345,332.544,0.824,429.706,408.139,0.752,368.682,483.025,0.714,366.993,331.254,0.835,381.071,293.359,0.892,346.733,275.435,0.856,294.994,420.300,0.805,370.123,280.845,0.947,319.757,331.052,0.808,318.439,486.218,0.847
571,395.198,280.883,0.072,431.316,439.692,0.802,385.877,280.921,0.889,409.347,332.543,0.823,429.589,407.958,0.756,368.682,483.025,0.714,366.994,331.276,0.835,381.068,293.359,0.891,346.735,275.260,0.855,294.995,420.298,0.803,370.121,280.844,0.946,319.746,331.056,0.807,318.439,486.105,0.849
572,395.198,280.885,0.073,431.410,439.432,0.800,385.877,280.920,0.888,409.349,332.542,0.822,429.601,407.848,0.757,368.682,483.025,0.714,366.996,331.417,0.834,381.068,293.472,0.890,346.736,275.170,0.854,294.999,420.294,0.801,370.120,280.843,0.945,319.757,331.057,0.807,318.439,486.127,0.849
573,395.196,280.890,0.074,431.484,439.229,0.797,385.877,280.919,0.887,409.354,332.544,0.821,429.521,407.957,0.759,368.682,483.025,0.714,366.998,331.681,0.835,381.068,293.472,0.890,346.736,275.167,0.853,295.002,420.288,0.799,370.120,280.844,0.945,319.788,331.059,0.807,318.437,485.937,0.850
574,395.194,280.901,0.075,431.537,439.313,0.793,385.873,280.918,0.888,409.355,332.546,0.820,429.459,408.018,0.759,368.682,483.025,0.714,366.997,331.822,0.835,381.067,293.266,0.888,346.736,275.369,0.852,295.005,420.280,0.798,370.120,280.842,0.945,319.839,331.058,0.807,318.432,485.783,0.849
575,,,,431.568,439.315,0.790,385.869,280.914,0.889,409.357,332.550,0.819,429.424,408.024,0.760,368.682,483.025,0.714,366.998,332.175,0.836,381.069,293.101,0.887,346.739,275.537,0.852,295.008,420.272,0.797,370.122,280.840,0.946,319.911,331.057,0.808,318.429,485.676,0.848
576,393.747,280.901,0.061,431.579,439.578,0.789,385.865,280.911,0.890,409.356,332.553,0.820,429.409,408.177,0.759,368.682,483.025,0.714,366.998,332.387,0.836,381.070,292.976,0.886,346.740,275.700,0.852,295.011,420.268,0.796,370.123,280.840,0.947,320.003,331.056,0.810,318.426,485.609,0.847
577,393.745,280.898,0.065,431.570,439.745,0.790,385.863,280.908,0.891,409.358,332.556,0.820,429.414,408.558,0.760,368.682,483.025,0.714,366.999,332.550,0.837,381.071,292.890,0.886,346.739,275.871,0.853,295.010,420.267,0.797,370.124,280.838,0.948,320.114,331.057,0.811,318.424,485.586,0.846
578,393.743,280.895,0.068,431.539,439.900,0.791,385.862,280.906,0.892,409.358,332.559,0.820,429.445,408.889,0.762,368.682,483.025,0.714,366.999,332.643,0.838,381.072,292.848,0.886,346.739,275.938,0.853,295.009,420.267,0.799,370.125,280.838,0.949,320.002,331.058,0.813,318.421,485.602,0.845
579,393.742,280.893,0.070,431.485,440.279,0.793,385.861,280.904,0.893,409.358,332.561,0.821,429.390,409.393,0.762,368.682,483.025,0.714,367.000,332.644,0.839,381.073,292.848,0.886,346.736,275.783,0.853,295.007,420.269,0.800,370.124,280.841,0.950,320.002,331.057,0.813,318.419,485.663,0.845
580,393.740,280.892,0.071,431.414,440.395,0.796,385.862,280.903,0.893,409.355,332.561,0.822,429.474,409.703,0.762,368.682,483.025,0.714,367.000,332.532,0.839,381.073,292.892,0.888,346.735,275.300,0.853,295.005,420.388,0.801,370.123,280.845,0.951,320.002,331.055,0.813,318.419,485.767,0.845
